Model,RMSE,MAE,MAPE,R2
Sarima With Sentiment,2.541598082893288,1.7170828211895661,1.4104328361104777,0.9617006660198145
Sarima Without Sentiment,2.5542046175949764,1.7388021417542943,1.4283986076492359,0.9613197880956638
Lr With Sentiment,2.5792119537090343,1.7559060140956066,1.4424489144419794,0.9602603597864556
Lr Without Sentiment,2.5924405835698088,1.7789108407594922,1.4623568967125953,0.9598516697324948
Lstm Without Sentiment,3.4614384865297865,2.7299398133253243,2.21474971832327,0.9284247124769087
Lstm With Sentiment,3.578571171955601,2.7821723482309526,2.2593494567825134,0.9234986352033533
Moat,3.9455602372340617,3.0894569955660636,2.4904611290608463,0.905723781716542
