date,open,high,low,close,volume,dividends,stock_splits,title,summary,text,sentiment_score,sentiment_label,source,url
2022-01-03,29.7606911359497,30.655058939253216,29.73074509693811,30.066133499145508,391547000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-04,30.221848259188473,30.41250032098128,28.297360780125985,29.23664665222168,527154000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-05,28.89627192371204,29.362422293115806,27.482852553372545,27.553722381591797,498064000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-06,27.589650744237954,28.386197453418056,27.015699298709755,28.126670837402344,454186000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-07,28.089741182817168,28.37022947108677,27.00771417868362,27.197368621826172,409939000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-10,26.53257975603974,27.41896267365965,25.597286309445213,27.350088119506836,594681000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-11,27.2732273118183,28.013876234455545,26.79010973141458,27.766326904296875,404089000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-12,28.015873067370816,28.542911149717273,27.557709539495665,27.947998046875,383413000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-13,28.32730914578182,28.42812501308889,26.449734751203746,26.526596069335938,540171000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-14,26.25209631316688,27.14746377794876,26.1622600872172,26.892927169799805,395832000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-18,26.212165939162322,26.589477646628584,25.72305873433547,25.855815887451172,424270000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-19,26.031499059207142,26.494652706389434,25.00636925473793,25.02134132385254,488315000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-20,25.2579076632761,25.53240634876918,24.03413918059923,24.106008529663086,435181000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-21,23.464179956119494,24.77778273419863,23.220624940867154,23.331422805786133,718958000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-24,22.289322256872257,23.33740875236152,20.84994965408557,23.329423904418945,913982000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-25,22.50492661327565,22.901204647292634,21.959921754617252,22.2833309173584,664616000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-26,23.1976701459674,24.013181488440807,22.25938174059481,22.73052215576172,755959000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-27,23.525070274294848,23.95129251401935,21.635516933141698,21.904027938842773,573353000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-28,21.97190424675103,22.81636392687395,21.257208837637826,22.798397064208984,543774000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-01-31,23.139774819631263,24.464359350922813,23.010012443225385,24.4414005279541,564680000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-01,25.05827326941054,25.099198953640652,23.846483864270663,24.593122482299805,518925000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-02,25.747012707972097,25.769969621758207,24.508272261826715,25.19601821899414,543419000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-03,24.41345015911327,25.03132213841191,23.736685632544873,23.90437889099121,410178000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-04,23.928332146544108,24.590124516316973,23.58895134646191,24.274700164794922,354829000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-07,24.327604278168515,25.136128268103885,24.157913870021662,24.68295669555664,376868000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-08,24.31462730633743,25.184040996681343,23.936317975792957,25.06226348876953,410359000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-09,25.57532565142409,26.67631702093288,25.306816571523118,26.656352996826172,524282000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-10,25.94765032405226,26.875954707575385,25.55336936906097,25.776960372924805,513200000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-11,25.868794514206858,26.10436470242998,23.729698327222916,23.905376434326172,605472000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
2022-02-14,23.89040189571466,24.829687757041498,23.711727108768542,24.222795486450195,440424000,0.0,0.0,NVDA trading session,No significant news for NVIDIA today,NVDA trading session. No significant news for NVIDIA today,0.0,Neutral,Generated,
